Company Name,Website,Status,Screenshot URL,Place ID,Error,Details
"30666123108","http://nonnabellas.com/","failed","","","Search API error: 500","Professional scan failed"
"30664877686","https://www.mcdanielsqn2.com/","failed","","","Search API error: 500","Professional scan failed"
"31645619335","http://bocceclubpizza.com","success","https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJg0GCagDVv1QRD4qfTTx581E","ChIJg0GCagDVv1QRD4qfTTx581E","","Scan and screenshot completed successfully"
"32127391567","http://mypeppinos.com","success","https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJKWlj9jKGwFQRUueKgH6MEg8","ChIJKWlj9jKGwFQRUueKgH6MEg8","","Scan and screenshot completed successfully"
"31411140739","https://stadiumpepz.com/","success","https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJKWlj9jKGwFQRUueKgH6MEg8","ChIJKWlj9jKGwFQRUueKgH6MEg8","","Scan and screenshot completed successfully"
"31475321775","http://www.goodtimespizzamidland.com","failed","","","Search API error: 500","Professional scan failed"
"31853732637","http://Www.mcspizza.com","success","https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJsRbWx5N7kFQRinffPblxBsE","ChIJsRbWx5N7kFQRinffPblxBsE","","Scan and screenshot completed successfully"
"31167617137","http://www.thelocalbarandgrille.com","success","https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJCb-tyoxXlVQR3YHEb0VVTmc","ChIJCb-tyoxXlVQR3YHEb0VVTmc","","Scan and screenshot completed successfully"
"31473149991","http://www.twocousinsephrata.com/free-dessert","success","https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJg0GCagDVv1QRD4qfTTx581E","ChIJg0GCagDVv1QRD4qfTTx581E","","Scan and screenshot completed successfully"
"31669326449","https://www.cluckuchicken.com/location/new%20jersey/nj04-34-red-bank","success","https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJKWlj9jKGwFQRUueKgH6MEg8","ChIJKWlj9jKGwFQRUueKgH6MEg8","","Scan and screenshot completed successfully"
"30746160461","http://mypizzadudes.com","success","https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJg0GCagDVv1QRD4qfTTx581E","ChIJg0GCagDVv1QRD4qfTTx581E","","Scan and screenshot completed successfully"
"30346627344","https://mulebarntexas.com","success","https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJKWlj9jKGwFQRUueKgH6MEg8","ChIJKWlj9jKGwFQRUueKgH6MEg8","","Scan and screenshot completed successfully"
"31252909837","https://www.driftwoodcateringco.com","success","https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJ7y6TbAJnlVQR8AogkjB72B4","ChIJ7y6TbAJnlVQR8AogkjB72B4","","Scan and screenshot completed successfully"
"31785401426","http://www.theplaceforsteak.com","failed","","ChIJ-3oRxjUbXIgRu0w91fFipeI","Screenshot generation failed","Scan completed but screenshot generation failed"
"31401890665","https://alwaysfastdelivery.com/","failed","","ChIJEZLfQf3xwIcRn9E12lzvtWc","Screenshot generation failed","Scan completed but screenshot generation failed"
"30429925410","https://ferropizza.com/","success","https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJKWlj9jKGwFQRUueKgH6MEg8","ChIJKWlj9jKGwFQRUueKgH6MEg8","","Scan and screenshot completed successfully"
"32060057859","http://www.fivestarpizza.com","success","https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJKWlj9jKGwFQRUueKgH6MEg8","ChIJKWlj9jKGwFQRUueKgH6MEg8","","Scan and screenshot completed successfully"
